level,text
1,"С днём рождения, ! Друзья, а вы не забыли что у а завтра день рождения? Ой, у меня это совсем вылетело из головы! А я уже купил ему подарок. Но мы же хотели сделать общий подарок! А что ты ему купил? Фотоальбом. Но можно купить ещё что-нибудь.Том: Хорошо. Давайте решать. может быть, купить ему красивые дорогие шахматы? Нет, это не для него, он не может долго сидеть на одном месте. Так, фотоальбом уже есть. Я советую купить ему большой букет цветов. Кто же дарит мужчинам цветы? Кстати, а сколько ему лет? Завтра ему будет 28 лет. Только 28! А мне уже 31 год. А тебе, Ирена? Рамон, женщинам нельзя задавать этот вопрос! Так что же подарить ?Иван Петрович: А он любит классическую музыку? Может быть, подарить ему кассеты? Мне кажется, я знаю, что ему нужно. Он не будет играть в шахматы, ему не очень нравится классическая музыка, но он с удовольствием фотографирует. Я думаю, он будет рад, если подарить ему новый фотоаппарат."
1,"утро в городе.у очень нравится Петербург. Особенно он любит утренний город. Почти каждый день он гуляет по городу и выбирает сюжет новой картины. В Петербурге очень много красивых мест и конечно, это непросто.Сегодня он решил порисовать на Марсовом поле. Он выбрал очень хорошее место: напротив Нева и Троицкий мост, справа Летний сад, слева Мраморный дворец.Город просыпается. На улицах ещё мало людей. Вот идут две девочки-школьницы и едят мороженое. На остановке трамвая стоит старушка, наверное, они едет на рынок. Автобусы, троллейбусы, трамваи ходят ещё редко. А вот молодой человек. У него большой чемодан. Он поднимает руку и останавливает такси. Интересно, куда он едет? В аэропорт? На вокзал?А вот ещё два молодых человека. Да это же Клаус! А кто второй? Клаус, привет! Что ты здесь делаешь так рано? Привет, Познакомься, это мой брат Георг. Сегодня он последний день в Петербурге. В 11 часов самолёт, а мы еще не всё посмотрели.Роман: Ну как, Георг, тебе понравился Петербург? Где ты был?Георг: Я в восторге! Два раза я ходил в Эрмитаж, был в Русском музее, видел Исаакиевсккй собор и Петропавловскую крепость. А на Мойке, 12 ты был?Георг: Конечно, мы не только ходили в музей-квартиру Пушкина, но и в город Пушкин ездили. Ходили там в лицей, видели комнату, где жил Пушкин. А в Петродворцё были?Георг: К сожалению, нет. Я был в Петербурге только 3 дня. Но теперь я точно знаю, что должен увидеть этот город ещё раз. Извини, Рамон, нам надо идти. Через 30 минут наш автобус идет в аэропорт. До свидания! Счастливого пути!"
1,"Скоро мы поедем на экскурсию в Москву. Мы много говорили об этом на уроке, и вчера Иван Петрович попросил нас сделать необычное домашнее задание — написать о нашем самом интересном путешествии. Вот что написала Ирена. В этом году я и мои друзья ездили в Крым, в Ялту. Эта поездка мне очень понравилась. В Симферополь, столицу Крыма, мы ехали на поезде. Поезд шёл 36 часов. Конечно, это долго, и вы можете спросить, что делать в поезде 36 часов. Ну, во-первых, у нас было очень уютное купе, где мы не только спали, но и пили чай, ели, разговаривали, пели песни. Во-вторых, дорога была очень интересная. Из окна вагона мы видели Россию и Украину, их природу, деревни и города. В Симферополе мы были утром. В Ялту ходят автобусы, троллейбусы, можно ехать и на такси. Мы выбрали автобус-экспресс. Через 2 часа мы уже были в гостинице «ОреАнда». Ялта — чудесный южный городок на берегу Чёрного моря. Мы ездили в Ботанический сад, были в музее А.П. Чехова, на заводе «Массандровские вина». Один раз мы ходили в горы. Это было интересно, но трудно. Мы шли пешком 5 часов! Эта поездка помогла мне лучше узнать Россию и Украину, их историю и современность. Я думаю, что я поеду в Крым ещё раз."
1,"Экскурсия в Москву.Недавно мы ездили на экскурсию в Москву. В пятницу в 23:55 мы уехали из Петербурга на поезде «Красная стрела».Мы ехали всю ночь. Поезд пришёл в Москву в 8:30, и мы сразу поехали в гостиницу «Россия». Мы хорошо позавтракали и пошли на Красную площадь. эго главная площадь Москвы, и она нам очень понравилась. Потом мы пошли в Кремль.После Кремли мы поехали на автобусе в ресторан. Когда мы приехали туда, нас уже ждал традиционный русский обед. это было так вкусно, что мы не хотели никуда идти. Но нас ждал экскурсовод, и мы пошли в автобус.Через 20 минут мы приехали в Третьяковскую галерею. Мы были там 2 часа и очень устали. В программе экскурсии была ещё и дискотека, но туда мы ве пошли.В воскресенье рано утром мы поехали в Загорск и были там целый день. Поздно вечером мы уехали в Петербург.Экскурсия была короткая, но очень интересная. Мы часто вспоминаем о ией. Через 2 недели мы решили поехать в Новгород."
1,"Встреча с молодыми журналистами.Вчера наша группа была в редакции молодежной газеты «Смена». Мы интересуемся проблемами молодёжи в России, и когда Иван Петрович предложил нам встретиться с молодыми петербургскими журналистами, мы с радостью согласились.Журналисты задавали нам много вопросов, и мы тоже спрашивали их о жизни и о работе.Конечно, сначала мы рассказали, откуда мы приехали и кем работаем. сказал, что он работает врачом, Сирпа — экскурсоводом, Клаус — журналистом. Том ещё студент, он интересуется политикой в историей и хочет стать политологом. Ирена ещё не решила, кем она хочет быть, но она любит изучать иностранные языки и серьезно занимается музыкой. Том рассказал, что когда он был маленьким, он хотел стать футболистом, но он всегда любил рисовать и стал художником.На вопрос, почему мы изучаем русский язык, Клаус ответил, что он пишет книгу о современной России и хочет сам говорить с русскими людьми. Сирпа сказала, что она часто работает с русскими туристами в Финляндии. И конечно, мы все интересуемся русской литературой и культурой.Одна журналистка спросила, что нас удивило в России. Во-первых, русская кухня: русские всё едят с хлебом, даже макароны! Во-вторых, в транспорте все читают, даже дети сидят с книгами. А сказал, что в России красивые женщины.Потом мы рассказывали, чем мы занимаемся в свободное время. Сирпа любит гостей и с удовольствием готовит. Клаус много гуляет, часто ездит в лес. Том занимается спортом. А Клаус сказал, что у него нет свободного времени, потому что он много работает.После встречи журналисты пригласили нас пить чай с пирогами и слушать русские песни."
1,"Три медведя.(Русская народная сказка)В одной маленькой деревне жила-была девочка. Звалн её Маша. Родителей у неё не было, и жила она с бабушкой н Дедушкой.Однажды пошли Маша в лес и заблудилась. Шла она шла по лесу, а лес становился всё темнее и темнее. Вдруг увидела она маленький домик. Подошла они к домнку и постучала. Никто ей не ответил. Машенька осторожно открыла даерь и вошла в коынату.В комнате стоял большой стол и три стула. Один стул был очень болыпой, другой меньше, а третий сАмыЙ маленький. На столё стояли три тарёлкм с кашей и три чашки с молоком.Машенька была очень голодная. Села она на большой стул, но ей было неудобно, села на средний — ещё неудобнее. Села она на маленький стул, взяла ложку, съела всю кашу и молоко выпила.Захотела Маша спать, пошла в другую комнату и увидела три кровати. Одну большую, другую меньше, а третью самую маленькую. Легла она на самую маленькую кровать и заснула.Поздно вечером вошли в домик три медведя. Самый большой медведь — папа, Михайло Иванович, средний — мама, Марья Ивановна, и самый маленький — сынок Мишутка. Вошли они в дом, смотрят и ничего не понимают.— Кто сидел на моём стуле?! — зарычал Михайло Иванович.— А кто сидел на моём стуле? — спросила Марья Ивановна.— А кто сидел на моём стуле и всё съел? — запищал Мишутка и заплакал. Вошли медведи в другую комнату и увидели Машеньку.— Сейчас я её съем! — зарычал Михайло Иванович. Проснулась Маша, увидела медведей, испугалась и заплакала.— Нет, нет, не ешь её, папа! если ты её съешь, с кем я играть буду? — запищал Мишутка.Пожалели медведи Машу и утром проводили её в деревню к дедушке и бабушке.А Машенька и Мишутка стали друзьями и часто играли вместе в лесу. Вот и сказке конец, а кто слушал — молодец."
1,"Букеты.В учительской комнате женской гимназии сидели несколько учителей. Старый учитель математики сказал:— Меня зовут Андрей Владиславович. Никогда не встречал другого человека с таким именем и отчеством.новая учительница истории, тоже очень немолодая, ответила:— Ну, это неудивительно, отчество ваше у нас, у русских, очень редкое. Но вот странно: и имя и отчество у меня самые обычные — Наталья Александровна, а я тоже никого не знала с таким именем и отчеством.СтарыЙ математик мечтательно сказал:— Нет, я знал одну Наталью Александровну. Это была моя первая любовь. Наташа Каэаченко.Учительница удивилась:— Простите, я вас никогда не встречала, а моя девичья фамилия — Казаченко.Математик скептически посмотрел на нее.— Нет. Это были не вы. Может быть, родственница ваша. Гимназистка, чудесная девушка с синими глазами.— Это в Киеве было? -Да.— Она жила на улице?— Да, да. правильно. Это значит вы и естъ?— Да. Но я вас не знала.— Ну, фамилию должны знать. Я вам каждый день присылал букет роз. У меня в саду чудесные розы были.— Букеты мне дарил гимназист Владимир Канчер.— Ну да! От меня.— Он этого не говорил.— Как? Неужели от себя?!-да— Вот подлец!"
1,"Том: Как вы думаете, Иван Петрович, можно выучить иностранный язык быстро?Иван Петрович: Что значат быстро?Том: Ну, например, смогу я выучить язык, если я буду учить его два месяца? Я думаю, что самое главное — Это выучить слова. Вели я буду учить одно слово в минуту, то через час буду знать 60 слов. А через месяц 1500. А в следующий месяц я выучу всю грамматику. Нет, Том. Я думаю, что знать язык — это не значит знать много слов и грамматику, надо быстро и правильно строить фразы, думать на этом языке. А как вы думаете, можно изучить язык самостоятельно?Иван Петрович: Да, конечно. Но очень важно заниматься каждый день. У человека, который изучает иностранный язык, нет выходных дней, Очень полезно слушать радио и магнитофон, много читать. Венгерская переводчица-полиглот Кати Ломо считает, что язык тоже"
1,"Один мой сосед любит путешествовать. Он уже был в Австралии, в Америке, в Африке. Скоро он поедет в Индию.— А сколько ему лет?— Ему уже 92 года. Он пенсионер. Но он очень активный. А другой сосед любит отдыхать на даче. Он говорит, что в Англии всегда дождь, в Африке жарко, в Финляндии холодно. На даче — не жарко и не холодно. Там тихо, спокойно. Там лес, река. Можно гулять в лесу и думать о жизни.— А сколько ему лет?— Ему 22 года. Он студент."
1,"Мне очень нравится одна девушка из нашей группы. Я всё время думаю о ней. Утром еду сначала на троллейбусе и думаю о ней. Потом еду на метро и думаю о ней. Потом еду на автобусе и думаю о ней. Па уроке тоже думаю о ней. И в столовой обедаю и думаю о ней. Потом еду домой. Сначала еду на автобусе, потом на метро, потом на троллейбусе. И всё время думаю о ней. Лётом я ездил домой, во Францию. Сначала я ехал в аэропорт на поезде. И всё время думал о ней. Потом я летел на самолёте. В самолёте тоже я думал только о ней.Я хочу стать космонавтом. Значит, когда я стану космонавтом и полечу в космос на космическом корабле, я всё время буду... Что делать?"
1,"""Андрей любит мечтать. Вот его дом... Два... нет, три этажа. Он на балконе. Нет, он в бассейне. Нет, не так.Вот его яхта... Он ctoiit на яхте. А я'хта в море. Нет, в океане. На яхте мотоцикл (он давно о нём мечтал). Новая модель «Харлей-Дэвидсон"
1,"Маша и Саша познакомились через Интернет. В последнее время многие молодые люди знакомятся так. Вы знаете, сейчас трудно познакомиться, особенно в большом городе. Маша и Саша живут в Москве, а это очень большой город. Спасибо Интернету! Он решает много проблем. Через год Маша и Саша решили наконец встретиться. Раньше они никогда не видели друг друга, только фотографии. Вчера вечером они решали, где встретиться. Вот их письма.Саша — МашеМаша, где тебе удобно встретиться со мной? Я думаю, можно в кафе. Но я не знаю, где ты живёшь. На какой улике? Там есть хорошее кафе?Маша — СашеСаша, можно встретиться в кафе в центре города. И тебе, и мне будет удобно. Я не хочу, чтобы ты далеко ехал. Я живу далеко от центра."
1,"На уроке преподаватель спросила нас;— Какой город Москва — старый или новый?— Москва — очень старый город, — сказал Стив, студент из Америки. Например, Нью-Йорк — новый город, а Москва — старый.— Нет, Москва — новый город, — сказал Марио, студент из Италии. Рим — старый город, а Москва — новый.— Конечно, Москва — новый город! — сказал Лю Вао. студент из Китая. Пекин — старый город, а Москва — новый.На следующий день Стив спросил преподавателя:— Скажите, пожалуйста, Суздаль находится далеко от Москвы? Я хочу поехать на экскурсию.— Нет, — сказала преподаватель, — совсем недалеко. — Часа четыре на автобусе. Это маленький, но очень интересный город."
1,"— Здравствуйте!— Здравствуйте! Пожалуйста, вот меню.— Спасибо. Так... Картофель, салат «Цезарь», грибы, помидоры, огурцы, салат «Русский», салат «Греческий», салат картофельный, салат морковный... Извините, а у вас есть гуляш или ростбиф? Может быть, курица?— Нет. гуляша нет. ростбифа тоже нет. И курицы нет. Вообще мяса у нас нет.— А рыба?— Рыбы у нас тоже нет.— А икра есть?— У нас нет икры.— Как? Почему у вас нет мяса, у вас нет рыбы. у вас нет икры? Это ресторан или столовая?— Это ресторан. Вы знаете, как называется наш ресторан?— Да, знаю. Ваш ресторан называется «Лев Толстой». Это мой любимый русский писатель. Поэтому я здесь.— А вы знаете, что Лев Толстой был вегетарианцем? И ресторан наш тоже вегетарианский.— А Пушкин? Он тоже был вегетарианцем? -Нет.— Очень хорошо! Ресторан «Пушкин» рядом. И это мой любимый поэт. Я думаю, в этом ресторане хорошее вино и шампанское.— Почему вы так думаете?— Пушкин любил хорошее вино и шампанское. Я знаю его стихи! До свидания!— До свидания! Приятного аппетита!"
1,"Каждый человек должен построить дом. вырастить сына, посадить дерево... А я? Что я сделал? Что у меня есть?Уже 30, а у меня ещё нет дома, нет жены, нет сына. У меня нет машины. У меня нет даже мотоцикла. Мне стало очень грустно...Но потом я подумал: «Да, у меня ешё нет жены, нет сына, нет дома, нет машины, нет даже дерева, которое я посадил. Но у меня есть любимая работа, у меня есть друг, у меня есть подруга. И у меня есть велосипед. Может, всё не так плохо? И всё-таки...»Я решил, что в понедельник мне надо начать новую жизнь. С чего начать? Надо начать с дерева!В понедельник я пошёл покупать дерево.Я купил дерево, а потом позвонил подруге.— Катя, ты знаешь, я купил дерево.— Какое дерево?— Я хочу посадить его в парке. Ты не поможешь мне?— А когда ты хочешь его посадить?— Через час жду тебя у Центрального парка.— Хорошо. До встречи!"
1,"Девушки больше всего любят: бриллианты, шоколад, косметику.Молодые люди любят: футбол, хоккей, бокс, дзюдо, карате, пиво и мотоциклы.Девушки больше всего не любят: футбол, хоккей, бокс, дзюдо, карате, пиво и мотоциклы.Молодые люди больше всего не любят: бриллианты, шоколад, косметику.И как мы живём вместе?"
1,"Вчера у меня был день рождения. Я пригласила друзей и решила приготовить борш. Я приехала из Японии. Раньше я никогда не готовила борш. Но он мне очень нравится, и я хотела приготовить русское блюдо. Правда, говорят, борш — украинское блюдо, но в России его очень любят.Когда я шла в магазин покупать продукты для борша, я всё время повторяла (потому что боялась забыть что-нибудь): «Мне надо купить ка-nyciy, картошку, лук, морковь, свёклу, петрушку и мясо».Я всё купила, приготовила борш. Но он почему-то был не красный! В чём дело?Когда пришли гости, я спросила свою русскую подругу Лену:— Лена, что я сделала неправильно? Мой борш не красный!Лена посмотрела в кастрюлю, попробовала борш. ешё раз посмотрела в кастрюлю и сказала:— Здесь нет свёклы. Ты забыла свёклу.— Что же делать?!— Ничего, Масуми! Ты приготовила щи. Это тоже популярное русское блюдо!Гости с удовольствием ели щи, а я подумала: «Какая хорошая русская кухня! Я забыла один продукт и приготовила новое блюдо!»"
1,"Один раз преподаватель дала нам такое домашнее задание: «Напишите, какое время года вы любите больше всего, какое не любите, и почему».Вот рассказы студентов из Англии — Тома и Джона. Они большие друзья, вместе живут, имеете отдыхают, хотя они очень разные. Когда вы прочитаете их рассказы, вы поймёте, почему я так говорю.Рассказ Тома.Я очень люблю лето. Лётом тепло, можно плавать, загорать. Летом у меня каникулы, поэтому обычно я путешествую.Я очень люблю осень. Осенью красиво, особенно в парке и в лесу. И не жарко. Я люблю гулять осенью по городу или в парке. Деревья жёлтые, красные!Я очень люблю зиму. Зимой идёт снег. И это очень красиво — всё белое! Зимой можно кататься на лыжах, на коньках. Но главное — зимой Рождество и Новый год, а это мой любимые праздники.Я очень люблю весну. Весной начинается новая жизнь. Я люблю весной знакомиться с девушками. Поют птицы, начинают цвести цветы! Яркое солнце, голубое нёбо. Это время любви и надежд.Рассказ Джона.Я не люблю лето. Лётом жарко. Летают комары и мухи. Кошмар!Я не люблю осень: холодно, дождь, грязь. Ужас!Я не люблю зиму. Зимой всегда серое небо, у меня начинается депрессия.Я не люблю весну. Весной часто идут ложли. в это время в организме мало витаминов, я всегда болею."
1,"На сайте «Одноклассники» ищут друг друга те, кто раньше учился в одном классе. Вот два письма с этого сайта. Липа - Виктору. Здравствуй. Виктор! Я очень рада, что гы написал мне. Десять лет я ничего не знала о тебе. Я живу сейчас и Петербурге. Работаю в университете, преподаю литературу.Я хорошо помню наши школьные годы. Помнишь нашу учительницу математики Марию Ивановну? Ты хорошо шал математику. а я не любила математику, но очень любила литературу. Ты помнить Антона? Он очень плохо учился, я слышала, сейчас он работает водителем такси.Ты помнишь, наверное, что в восьмом классе я любила . Только тебе я рассказала об этом."
1,"Наташа — Виктору.Здравствуй. Виктор! Ты знаешь, я ещё в школе любила тебя. Но ты любил только одну девушку — мою подругу Анну. Анна любила Антона, а Антон любил меня. Просто мыльная опера! Как всё сложно! Потом Айна уехала из Москвы.Пять лет назад мы с Антоном поженились. Скоро я поняла, что это была ошибка. Я никогда не любила Антона. Я не могу тебя забыть.Мой муж очень неинтересный человек. Он работает водителем такси. Но проблема не в этом. Просто мне очень скучно с ним. Я актриса. Я люблю театр, кино, музыку. А Антон не любит ничего. Он не любит искусство. Я не знаю, о чём с ним говорить. Даже на мой спектакли он не приходит. Я хочу встретиться с тобой и поговорить. Можно пойти в кафе. Вспомним школу, нашу учительницу Марию Ивановну, нашу дружбу."
